Code,Name,Country,Exchange,Currency,Type,Isin,Company Name,Industry_x,Symbol,Series,ISIN Code,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry_y,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
SBFC,SBFC Finance Limited,India,NSE,INR,Common Stock,INE423Y01016,SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,543959,SBFC Finance Limited,SBFC,SBFC Finance Ltd,Active,A ,10.00,INE423Y01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBICARD,SBI Cards and Payment Services Limited,India,NSE,INR,Common Stock,INE018E01016,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,543066,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD,SBI Cards and Payment Services Ltd,Active,A ,10.00,INE018E01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SBILIFE,SBI Life Insurance Company Limited,India,NSE,INR,Common Stock,INE123W01016,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,540719,SBI Life Insurance Company Limited,SBILIFE,SBI Life Insurance Company Ltd,Active,A ,10.00,INE123W01016,Life Insurance,Equity,Financial Services,Financial Services,Insurance,Life Insurance
SBIN,State Bank of India,India,NSE,INR,Common Stock,INE062A01020,State Bank of India,Financial Services,SBIN,EQ,INE062A01020,500112,State Bank Of India,SBIN,State Bank of India,Active,A ,1.00,INE062A01020,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank
SCHAEFFLER,Schaeffler India Limited,India,NSE,INR,Common Stock,INE513A01022,Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,2.00,INE513A01022,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SCHNEIDER,Schneider Electric Infrastructure Limited,India,NSE,INR,Common Stock,INE839M01018,Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,534139,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,SCHNEIDER,Schneider Electric Infrastructure Ltd,Active,A ,2.00,INE839M01018,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SCI,Shipping Corporation Of India Limited,India,NSE,INR,Common Stock,INE109A01011,Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,523598,Shipping Corporation Of India Ltd,SCI,Shipping Corporation of India Ltd,Active,A ,10.00,INE109A01011,Shipping,Equity,Services,Services,Transport Services,Shipping
SHREECEM,SHREE CEMENT LIMITED,India,NSE,INR,Common Stock,INE070A01015,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,500387,Shree Cements Ltd.,SHREECEM,Shree Cement Ltd,Active,A ,10.00,INE070A01015,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
SHRIRAMFIN,Shriram Finance Limited,India,NSE,INR,Common Stock,INE721A01013,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,511218,Shriram Finance Limited,SHRIRAMFIN,Shriram Finance Ltd,Active,A ,2.00,INE721A01047,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
SHYAMMETL,Shyam Metalics and Energy Limited,India,NSE,INR,Common Stock,INE810G01011,Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,543299,Shyam Metalics and Energy Limited,SHYAMMETL,Shyam Metalics and Energy Ltd,Active,A ,10.00,INE810G01011,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
SIEMENS,Siemens Limited,India,NSE,INR,Common Stock,INE003A01024,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,500550,Siemens Ltd.,SIEMENS,Siemens Ltd,Active,A ,2.00,INE003A01024,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,India,NSE,INR,Common Stock,INE903U01023,Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,543990,SIGNATUREGLOBAL (INDIA) LIMITED,SIGNATURE,Signatureglobal (India) Ltd,Active,A ,1.00,INE903U01023,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SJVN,SJVN Limited,India,NSE,INR,Common Stock,INE002L01015,SJVN Ltd.,Power,SJVN,EQ,INE002L01015,533206,SJVN LIMITED,SJVN,SJVN Ltd,Active,A ,10.00,INE002L01015,Power Generation,Equity,Utilities,Power,Power,Power Generation
SKFINDIA,SKF India Limited,India,NSE,INR,Common Stock,INE640A01023,SKF India Ltd.,Capital Goods,SKFINDIA,EQ,INE640A01023,500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A ,10.00,INE640A01023,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
SOBHA,Sobha Limited,India,NSE,INR,Common Stock,INE671H01015,Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,532784,Sobha Limited,SOBHA,Sobha Ltd,Active,A ,10.00,INE671H01015,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
SOLARINDS,Solar Industries India Limited,India,NSE,INR,Common Stock,INE343H01029,Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,532725,Solar Industries India Limited,SOLARINDS,Solar Industries India Ltd,Active,A ,2.00,INE343H01029,Explosives,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives
SONACOMS,Sona BLW Precision Forgings Limited,India,NSE,INR,Common Stock,INE073K01018,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,543300,Sona BLW Precision Forgings Limited,SONACOMS,Sona BLW Precision Forgings Ltd,Active,A ,10.00,INE073K01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
SONATSOFTW,Sonata Software Limited,India,NSE,INR,Common Stock,INE269A01021,Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,532221,Sonata Software Ltd.,SONATSOFTW,Sonata Software Ltd,Active,A ,1.00,INE269A01021,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
